strike,mid_price,implied_vol_yahoo
164,17.10,0.4736
165,16.20,0.4712
166,15.25,0.4573
167,14.30,0.4424
167.5,13.90,0.4473
168,13.35,0.4268
169,12.48,0.4180
170,11.70,0.4280
171,10.85,0.4209
172,9.90,0.3994
172.5,9.53,0.3973
173,9.20,0.4060
174,8.43,0.3977
175,7.63,0.3872
176,6.88,0.3793
177,6.18,0.3733
177.5,5.83,0.3693
178,5.55,0.3737
179,4.98,0.3706
180,4.38,0.3643
181,3.83,0.3591
182,3.38,0.3547
182.5,3.08,0.3513
183,2.93,0.3534
184,2.49,0.3491
185,2.15,0.3478
186,1.82,0.3460
187,1.54,0.3486
187.5,1.44,0.3457
188,1.33,0.3462
189,1.13,0.3469
190,0.945,0.3472
191,0.815,0.3508
192,0.695,0.3536
192.5,0.665,0.3589
193,0.605,0.3584
194,0.505,0.3594
195,0.445,0.3662
197.5,0.315,0.3737
200,0.235,0.3926
202.5,0.175,0.4127
205,0.145,0.4297
210,0.095,0.4570
212,0.070,0.4736